date,close,volume
1/21/2015 9:30,4.766,120
1/21/2015 11:00,4.796,100
1/22/2015 15:00,4.884,100
1/22/2015 15:15,4.888,200
1/22/2015 15:30,4.892,200
1/26/2015 12:30,4.866,200
1/26/2015 14:15,4.856,100
1/26/2015 14:45,4.852,100
1/26/2015 15:15,4.848,100
1/27/2015 10:00,4.81,500
1/27/2015 10:15,4.812,100
1/27/2015 10:30,4.806,100
1/27/2015 11:45,4.81,100
1/27/2015 14:00,4.824,100
1/27/2015 14:15,4.83,100
1/27/2015 15:00,4.828,200
1/27/2015 15:15,4.824,300
1/27/2015 15:30,4.822,100
1/27/2015 15:45,4.824,800
1/29/2015 15:45,4.778,1100
1/30/2015 13:30,4.75,600
2/2/2015 10:15,4.778,100
2/2/2015 11:00,4.784,100
2/2/2015 11:15,4.788,100
2/2/2015 11:30,4.79,100
2/2/2015 13:30,4.776,400
2/3/2015 11:15,4.832,700
2/3/2015 11:30,4.836,100
2/3/2015 13:15,4.834,100
2/3/2015 14:30,4.83,100
2/3/2015 14:45,4.83,200
2/6/2015 11:00,4.826,200
2/10/2015 10:30,4.798,300
2/10/2015 11:00,4.796,200
2/11/2015 15:00,4.804,200
2/11/2015 15:15,4.804,200
2/12/2015 14:30,4.872,100
2/13/2015 13:00,4.908,100
2/13/2015 13:45,4.904,200
2/13/2015 14:15,4.91,700
2/13/2015 15:15,4.914,600
2/13/2015 15:45,4.906,100
2/17/2015 9:30,4.906,700
2/19/2015 15:00,4.906,390
2/19/2015 15:45,4.904,300
2/20/2015 9:30,4.896,500
2/20/2015 9:45,4.9,700
2/23/2015 10:15,4.9,489
2/23/2015 15:00,4.888,200
2/23/2015 15:15,4.888,200
2/23/2015 15:30,4.892,300
2/23/2015 15:45,4.898,1000
2/24/2015 10:45,4.944,472
2/24/2015 11:00,4.948,300
2/24/2015 12:15,4.94,200
2/24/2015 15:45,4.936,900
3/11/2015 13:00,4.762,217
3/11/2015 14:45,4.766,100
3/12/2015 15:45,4.79,2600
3/13/2015 14:45,4.758,200
3/13/2015 15:00,4.758,100
3/13/2015 15:15,4.76,200
3/13/2015 15:45,4.768,358
3/16/2015 9:30,4.81,200
3/16/2015 10:15,4.808,395
3/16/2015 11:00,4.802,300
3/16/2015 11:15,4.802,300
3/16/2015 12:00,4.804,100
3/16/2015 13:45,4.808,100
3/16/2015 14:00,4.808,100
3/16/2015 14:15,4.812,300
3/16/2015 14:30,4.812,200
3/17/2015 10:15,4.818,102
3/17/2015 10:30,4.82,450
3/17/2015 12:30,4.834,100
3/17/2015 13:00,4.834,200
3/23/2015 14:15,4.894,100
3/25/2015 11:45,4.85,400
3/27/2015 12:00,4.804,100
3/27/2015 12:15,4.804,135
3/27/2015 12:30,4.804,110
3/30/2015 14:15,4.914,395
3/30/2015 15:30,4.918,703
4/2/2015 10:30,4.964,500
4/2/2015 10:45,4.97,1000
